
2024/09/02 (00:08:58) | ===> btop++ v.1.3.0
2024/09/02 (00:08:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/02 (00:08:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/08 (14:48:49) | ===> btop++ v.1.3.0
2024/09/08 (14:48:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/08 (14:48:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/09 (00:00:38) | ===> btop++ v.1.3.0
2024/09/09 (00:00:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/09 (00:00:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/09/09 (00:03:47) | INFO: Logger set to INFO
2024/09/09 (00:03:47) | INFO: Logger set to DEBUG
2024/09/09 (00:03:49) | INFO: Logger set to INFO
2024/09/09 (00:03:49) | INFO: Logger set to DEBUG

2024/09/09 (01:24:42) | ===> btop++ v.1.3.0
2024/09/09 (01:24:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/09 (01:24:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/09 (01:24:57) | ===> btop++ v.1.3.0
2024/09/09 (01:24:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/09 (01:24:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/01 (17:19:09) | ===> btop++ v.1.3.0
2024/10/01 (17:19:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (17:19:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/15 (23:57:27) | ===> btop++ v.1.3.0
2024/10/15 (23:57:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/15 (23:57:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/17 (00:34:15) | ===> btop++ v.1.3.0
2024/10/17 (00:34:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/17 (00:34:15) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/21 (20:53:05) | ===> btop++ v.1.3.0
2024/10/21 (20:53:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/21 (20:53:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/23 (00:24:44) | ===> btop++ v.1.3.0
2024/10/23 (00:24:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/23 (00:24:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/24 (20:26:29) | ===> btop++ v.1.3.0
2024/10/24 (20:26:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/24 (20:26:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/24 (20:27:25) | ===> btop++ v.1.3.0
2024/10/24 (20:27:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/24 (20:27:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported
